p.host,p.host.sl,Parent_ID ,p.wl,p.tl,p.td,p.al,p.hd,p.hl,p.ms,o.host,o.host.sl,Offspring_ID,o.wl,o.tl,o.td,o.al,o.hd,o.hl,o.ms
H. convergens,small,2_Hc_into_Hc_14_2G_1Ga1,3.1228,1.1475,0.7108,1.8335,0.5485,0.752,,C. septempunctata,large,2_Hc_into_C7_5_G1_3Ga2,3.4033,1.4658,0.815,2.3835,0.541,0.8455,0.6
C. maculata,small,1_C7_into_Cm_3_G3,3.7744,1.5158,0.9572,2.5386,0.5404,0.8327,0.8,H. convergens,small,1_Cm_into_Hc_1_G1,3.0659,1.3233,0.8964,2.0002,0.5215,0.7756,
C. maculata,small,2_Hc_into_Cm_8_G3,2.9078,1.2282,0.8033,1.9146,0.4885,0.7563,0.6,H. convergens,small,2_Cm_into_Hc_1_G1,2.9487,1.4064,0.8933,2.0781,0.5917,0.816,
C. maculata,small,1_Hc_into_Cm_13_C_2Cc2,2.9493,1.3057,0.7483,1.731,0.5227,0.744,0.7,H. convergens,small,1_C7_into_Cm_into_Hc_G1_1Ca3,2.6146,1.2315,0.8891,1.5082,0.562,0.7938,0.8
C. maculata,small,1_Hc_into_Cm_13_C_2Cc2,2.9493,1.3057,0.7483,1.731,0.5227,0.744,0.7,H. convergens,small,1_C7_into_Cm_into_Hc_G1_1Cc3,3.0223,1.2343,0.8509,1.9073,0.6009,0.7895,0.6
C. septempunctata,large,2_Hc_into_C7_3_G3,3.0836,1.3978,0.7564,2.128,0.5662,0.8238,0.6,H. convergens,small,2_C7_into_Hc_1_G1,3.1513,1.423,0.8362,1.8719,0.5218,0.8316,
H. convergens,small,2_Cm_into_Hc_1_G1,2.9487,1.4064,0.8933,2.0781,0.5917,0.816,,H. convergens,small,2_Cm_into_Hc_2_G2,2.4802,1.1618,0.7786,1.727,0.4818,0.7314,0.1
H. convergens,small,1_C7_into_Hc_1_G3,3.0696,1.329,0.9177,2.0616,0.519,0.8284,0.9,H. convergens,small,1_C7_into_Hc_2_G4,2.7204,1.3771,0.8784,1.8606,0.5085,0.7159,0.8
H. convergens,small,2_Hc_into_Hc_13_1Fa1,3.0988,1.2703,0.8775,2.228,0.5048,0.8005,,H. convergens,small,2_Nhcstore_into_Hc_3Fa2,2.593,1.458,0.9993,1.0525,0.5637,0.7763,
H. convergens,small,2_Hc_into_Hc_6_G1_1Ba1,2.5893,1.383,1.0193,2.0898,0.6343,0.7883,1.2,H. convergens,small,2_Hc_into_Hc_10_1Ba2,3.3518,1.47,0.9073,2.2588,0.563,0.895,1.4
H. convergens,small,2_Hc_into_Hc_6_G1_1Ba1,2.5893,1.383,1.0193,2.0898,0.6343,0.7883,1.2,H. convergens,small,2_Hc_into_Hc_11_1Bb2,2.24,1.209,0.837,1.7855,0.4885,0.753,0.7
H. convergens,small,2_Hc_into_Hc_11_1Bb2,2.24,1.209,0.837,1.7855,0.4885,0.753,0.7,H. convergens,small,2_Hc_into_Hc_12_1Ba3,3.6232,1.5946,1.0584,2.1651,0.6704,1.0121,
H. convergens,small,1_Cm_into_Hc_1_G1_1C_1_1D_1,2.4653,1.091,0.7012,1.633,0.4758,0.6512,,H. convergens,small,1_C7_into_Hc_3_G2_a_1Da2,2.4498,1.3392,0.679,1.459,0.4752,0.6936,0.4
H. convergens,small,1_Cm_into_Hc_1_G1_1C_1_1D_1,2.4653,1.091,0.7012,1.633,0.4758,0.6512,,H. convergens,small,1_C7_into_Hc_4_G2_B_1Db2,2.4365,1.3663,0.8631,2.1103,0.4787,0.7742,1
